ID	画面(模块/功能)名	数据类型	图标	排序依据	URL链接	上级画面ID	画面叶节点	功能节点	是否启用	是否可自定义	区域/门店	备注	是否可用于菜单	是否可配置权限	是否全局可见	许可证功能ID	备注（中文，不写入数据库）
P1001F01	新建		icon-func-add	100101		P1001	0	1	1	0	2		0	1	1		新建
P1001F02	删除		icon-func-delete	100102		P1001	0	1	1	0	2		0	1	1		删除
P1001F03	修改		icon-func-edit	100103		P1001	0	1	1	0	2		0	1	1		修改
P1001F04	查看		icon-func-view	100104		P1001	0	1	1	0	2		0	1	1		查看
P1001F06	导出		icon-func-export	100106		P1001	0	1	1	0	2		0	1	1		导出
P1001F08	提交审核		icon-func-audit-submit	100108		P1001	0	1	1	0	2		0	1	1		提交审核
P1001F09	撤回		icon-func-audit-withdraw	100109		P1001	0	1	1	0	2		0	1	1		撤回
P1001F10	流程状态		icon-func-process-status	100110		P1001	0	1	1	0	2		0	1	1		流程状态
P1001F11	审核记录		icon-func-audit-record	100111		P1001	0	1	1	0	2		0	1	1		审核记录
P1001F30	检索		icon-func-search	100130		P1001	0	1	1	0	2		0	1	1		检索
P1001F31	清空检索		icon-func-clear-search	100131		P1001	0	1	1	0	2		0	1	1		清空检索
P1001F32	高级检索		icon-func-search-more	100232		P1002	0	1	1	0	2		0	1	1		高级检索